time,value
2022-08-17 02:00:45,52.0
2022-08-17 02:01:45,51.0
2022-08-17 02:02:45,48.0
2022-08-17 02:03:44,59.0
2022-08-17 02:04:44,53.0
2022-08-17 02:05:44,49.0
2022-08-17 02:06:45,49.0
2022-08-17 02:07:44,43.0
2022-08-17 02:08:45,42.0
2022-08-17 02:09:45,49.0
2022-08-17 02:10:45,52.0
2022-08-17 02:11:44,54.0
2022-08-17 02:12:45,59.0
2022-08-17 02:13:45,51.0
2022-08-17 02:14:45,48.0
2022-08-17 02:15:45,64.0
2022-08-17 02:16:44,50.0
2022-08-17 02:17:44,49.0
2022-08-17 02:18:45,57.0
2022-08-17 02:19:45,48.0
2022-08-17 02:20:45,51.0
2022-08-17 02:21:44,59.0
2022-08-17 02:22:45,57.0
2022-08-17 02:23:44,56.0
2022-08-17 02:24:45,74.0
2022-08-17 02:25:44,50.0
2022-08-17 02:26:45,36.0
2022-08-17 02:27:45,52.0
2022-08-17 02:28:45,45.0
2022-08-17 02:29:45,59.0
2022-08-17 02:30:45,55.0
2022-08-17 02:31:44,48.0
2022-08-17 02:32:44,55.0
2022-08-17 02:33:44,67.0
2022-08-17 02:34:45,57.0
2022-08-17 02:35:45,54.0
2022-08-17 02:36:45,56.0
2022-08-17 02:37:45,71.0
2022-08-17 02:38:45,45.0
2022-08-17 02:39:45,45.0
2022-08-17 02:40:45,64.0
2022-08-17 02:41:45,52.0
2022-08-17 02:42:44,60.0
2022-08-17 02:43:44,55.0
2022-08-17 02:44:45,54.0
2022-08-17 02:45:45,56.0
2022-08-17 02:46:45,37.0
2022-08-17 02:47:44,61.0
2022-08-17 02:48:45,44.0
2022-08-17 02:49:44,50.0
2022-08-17 02:50:44,45.0
2022-08-17 02:51:44,56.0
2022-08-17 02:52:45,59.0
2022-08-17 02:53:45,47.0
2022-08-17 02:54:44,60.0
2022-08-17 02:55:45,48.0
2022-08-17 02:56:44,40.0
2022-08-17 02:57:45,50.0
2022-08-17 02:58:45,52.0
2022-08-17 02:59:44,41.0
2022-08-17 03:00:45,36.0
2022-08-17 03:01:45,62.0
2022-08-17 03:02:45,54.0
2022-08-17 03:03:46,66.0
2022-08-17 03:04:45,61.0
2022-08-17 03:05:45,57.0
2022-08-17 03:06:45,42.0
2022-08-17 03:07:44,59.0
2022-08-17 03:08:44,52.0
2022-08-17 03:09:45,48.0
2022-08-17 03:10:44,49.0
2022-08-17 03:11:44,45.0
2022-08-17 03:12:44,63.0
2022-08-17 03:13:45,53.0
2022-08-17 03:14:44,58.0
2022-08-17 03:15:44,67.0
2022-08-17 03:16:45,63.0
2022-08-17 03:17:44,63.0
2022-08-17 03:18:44,46.0
2022-08-17 03:19:45,43.0
2022-08-17 03:20:45,65.0
2022-08-17 03:21:46,43.0
2022-08-17 03:22:45,62.0
2022-08-17 03:23:44,58.0
2022-08-17 03:24:45,42.0
2022-08-17 03:25:45,48.0
2022-08-17 03:26:45,55.0
2022-08-17 03:27:45,61.0
2022-08-17 03:28:45,48.0
2022-08-17 03:29:44,57.0
2022-08-17 03:30:45,49.0
2022-08-17 03:31:45,46.0
